,index1_x,County_x,Year_x,ShelterID,BusName_x,City_x,Zip_x,License Type_x,DogSold_x,PupSold_x,CatSold_x,KitSold_x,ExoticSold_x,BegInvDog_x,DogRec_x,DogAdopt_x,DogReclaim_x,DogEuth_x,EndInvDogs_x,BegInvCat_x,CatRec_x,CatsAdopt_x,CatsReclaim_x,CatEuth_x,EndInvCats_x,BegInvOther_x,OtherRec_x,OtherAdopt_x,OtherReclaim_x,OtherEuth_x,EndInvOther_x,AllRec_x,AllAdopt_x,AllReclaim_x,AllEuth_x,index1_y,County_y,Year_y,BusName_y,City_y,Zip_y,License Type_y,DogSold_y,PupSold_y,CatSold_y,KitSold_y,ExoticSold_y,BegInvDog_y,DogRec_y,DogAdopt_y,DogReclaim_y,DogEuth_y,EndInvDogs_y,BegInvCat_y,CatRec_y,CatsAdopt_y,CatsReclaim_y,CatEuth_y,EndInvCats_y,BegInvOther_y,OtherRec_y,OtherAdopt_y,OtherReclaim_y,OtherEuth_y,EndInvOther_y,AllRec_y,AllAdopt_y,AllReclaim_y,AllEuth_y
72,866,Greene,2010,8675,The Dog P.E.N.,Roodhouse,62082,Animal Shelter,139,12,43,29,0,0,161,153,0,0,0,0,81,72,0,0,0,0,0,0,0,0,0,242,225,0,0,876,Greene,2013,The Dog P.E.N.,Roodhouse,62082,Animal Shelter,55,11,140,38,0,12,66,66,0,0,12,0,178,178,0,0,0,0,0,0,0,0,0,244,244,0,0
73,869,Greene,2010,8432,White Hall Animal Control,White Hall,62092,Animal Control,0,0,0,0,0,0,19,1,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,12,6,872,Greene,2013,White Hall Animal Control,White Hall,62092,Animal Control,0,0,0,0,0,0,18,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,12,0
74,882,Grundy,2010,3700,Grundy County Animal Control,Morris,60450,Animal Control,0,0,0,0,0,0,299,87,130,70,0,0,359,15,8,267,0,0,0,0,0,0,0,658,102,138,337,891,Grundy,2013,Grundy County Animal Control,Morris,60450,Animal Control,62,0,24,0,0,21,277,62,155,37,18,9,270,24,7,163,25,0,4,4,0,0,0,551,90,162,200
75,885,Grundy,2010,7683,Gundy County Humane Society,Coal City,60416,Animal Shelter,0,0,0,0,0,0,63,57,1,0,0,0,19,12,0,4,0,0,0,0,0,0,0,82,69,1,4,898,Grundy,2013,Grundy County Humane Society,Coal City,60416,Animal Shelter,0,0,0,0,0,1,19,20,0,0,0,2,4,6,0,0,0,0,0,0,0,0,0,23,26,0,0
76,888,Grundy,2010,8514,Just Animals Placement Service,Mazon,60444,Animal Shelter,85,47,142,161,0,0,99,132,3,3,0,0,212,303,2,7,0,0,0,0,0,0,0,311,435,5,10,899,Grundy,2013,Just Animals Placement Service,Mazon,60444,Animal Shelter,18,5,81,224,0,16,28,23,0,0,5,37,343,342,2,1,35,0,0,0,0,0,0,371,365,2,1
77,901,Hamilton,2010,5801,City of Mcleansboro,Mcleansboro,62859,Animal Control,0,0,0,0,0,0,45,32,13,0,0,0,14,14,0,0,0,0,0,0,0,0,0,59,46,13,0,903,Hamilton,2013,City of Mcleansboro,Mcleansboro,62859,Animal Control,0,0,0,0,0,2,39,33,2,4,3,0,0,0,0,4,0,0,0,0,0,0,0,39,33,2,8
78,906,Hancock,2010,1520,Hancock County Dog Pound,Basco,62313,Animal Control,0,0,0,0,0,0,349,222,57,70,0,0,0,0,0,0,0,0,0,0,0,0,0,349,222,57,70,916,Hancock,2013,Hancock County Dog Pound,Basco,62313,Animal Control,0,0,0,0,0,0,183,104,45,34,0,0,0,0,0,0,0,0,0,0,0,0,0,183,104,45,34
79,908,Hancock,2010,10626,Hearts of Hancock Humane Society,Carthage,62321,Animal Shelter,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,920,Hancock,2013,Hearts of Hancock Humane Society,Carthage,62321,Animal Shelter,0,0,0,0,0,4,13,14,0,0,3,22,14,11,0,1,24,0,0,0,0,0,0,27,25,0,1
80,914,Hancock,2010,13923,West Hancock Canine Rescue,Nauvoo,62354,Animal Shelter,0,0,0,0,0,0,191,4,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,197,4,1,0,921,Hancock,2013,West Hancock Canine Rescue,Hamilton,62341,Animal Shelter,0,0,0,0,0,0,39,27,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,39,27,0,0
81,923,Hardin,2010,8564,City of Rosiclare,Rosiclare,62982,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,925,Hardin,2013,City of Rosiclare,Rosiclare,62982,Animal Control,0,0,0,0,0,0,21,3,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,3,17,0
