,index1_x,County_x,Year_x,ShelterID,BusName_x,City_x,Zip_x,License Type_x,DogSold_x,PupSold_x,CatSold_x,KitSold_x,ExoticSold_x,BegInvDog_x,DogRec_x,DogAdopt_x,DogReclaim_x,DogEuth_x,EndInvDogs_x,BegInvCat_x,CatRec_x,CatsAdopt_x,CatsReclaim_x,CatEuth_x,EndInvCats_x,BegInvOther_x,OtherRec_x,OtherAdopt_x,OtherReclaim_x,OtherEuth_x,EndInvOther_x,AllRec_x,AllAdopt_x,AllReclaim_x,AllEuth_x,index1_y,County_y,Year_y,BusName_y,City_y,Zip_y,License Type_y,DogSold_y,PupSold_y,CatSold_y,KitSold_y,ExoticSold_y,BegInvDog_y,DogRec_y,DogAdopt_y,DogReclaim_y,DogEuth_y,EndInvDogs_y,BegInvCat_y,CatRec_y,CatsAdopt_y,CatsReclaim_y,CatEuth_y,EndInvCats_y,BegInvOther_y,OtherRec_y,OtherAdopt_y,OtherReclaim_y,OtherEuth_y,EndInvOther_y,AllRec_y,AllAdopt_y,AllReclaim_y,AllEuth_y
26,170,Christian,2010,29,Christian County Animal Control,Taylorville,62568,Animal Control,0,0,0,0,0,0,221,144,51,26,0,0,50,36,5,9,0,0,0,0,0,0,0,271,180,56,35,169,Christian,2011,Christian County Animal Control,Taylorville,62568,Animal Control,0,0,0,0,0,0,0,102,70,27,0,0,32,31,1,1,0,0,0,0,0,0,0,32,133,71,28
27,172,Christian,2010,8278,City of Assumption,Assumption,62510,Animal Control,0,0,0,0,0,0,10,0,10,0,0,0,5,0,5,0,0,0,0,0,0,0,0,15,0,15,0,173,Christian,2011,City of Assumption,Assumption,62510,Animal Control,0,0,0,0,0,0,10,0,9,1,0,0,4,0,4,0,0,0,6,0,0,6,0,20,0,13,7
28,174,Christian,2010,8473,City of Pana,Pana,62557,Animal Control,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,175,Christian,2011,City of Pana,Pana,62557,Animal Control,0,0,0,0,0,0,10,0,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,3
29,180,Clark,2010,7961,Baird's Pound,Martinsville,62442,Animal Control,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,181,Clark,2011,Baird's Pound,Martinsville,62442,Animal Control,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0
30,184,Clark,2010,6577,Bender's Townhouse Kennels,West Union,62477,Animal Control,0,0,0,0,0,0,168,89,21,46,0,0,0,0,0,0,0,0,0,0,0,0,0,168,89,21,46,185,Clark,2011,Bender's Townhouse Kennels,West Union,62477,Animal Control,0,0,0,0,0,0,168,89,21,46,0,0,0,0,0,0,0,0,0,0,0,0,0,168,89,21,46
31,191,Clark,2010,31,City of Casey,Casey,62420,Animal Control,0,0,0,0,0,0,63,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,23,0,190,Clark,2011,City of Casey,Casey,62420,Animal Control,0,0,0,0,0,0,40,0,25,0,2,0,0,0,0,0,0,0,1,0,1,0,0,41,0,26,0
32,207,Clinton,2010,12630,Centralia Humane Society,Centralia,62801,Animal Shelter,0,0,0,0,0,0,130,122,12,0,0,0,117,57,10,0,0,0,0,0,0,0,0,247,179,22,0,208,Clinton,2011,Centralia Humane Society,Centralia,62801,Animal Shelter,0,0,0,0,0,20,121,108,2,1,30,75,65,60,0,0,80,0,6,6,4,0,0,192,174,6,1
33,210,Clinton,2010,3586,Clinton County Animal Control,Carlyle,62231,Animal Control,0,0,0,0,0,0,652,166,235,251,0,0,575,33,15,527,0,0,0,0,0,0,0,1227,199,250,778,211,Clinton,2011,Clinton County Animal Control,Carlyle,62231,Animal Control,0,0,0,0,0,4,451,147,180,120,8,6,484,80,39,365,6,0,0,0,0,0,0,935,227,219,485
34,213,Clinton,2010,13723,Clinton County Humane Society,Carlyle,62230,Animal Shelter,0,0,0,0,0,0,89,94,8,1,0,0,41,39,1,3,0,0,0,1,0,0,0,130,134,9,4,214,Clinton,2011,Clinton County Humane Society,Carlyle,62230,Animal Shelter,0,0,0,0,0,18,109,109,0,2,16,6,43,42,0,0,7,0,0,0,0,0,0,152,151,0,2
35,222,Coles,2010,5242,Coles County Animal Shelter,Charleston,61920,Animal Control Facility,0,0,0,0,0,0,1002,326,266,381,0,0,900,174,9,524,0,0,113,11,80,22,0,2015,511,355,927,223,Coles,2011,Coles County Animal Shelter,Charleston,61920,Animal Control Facility,0,0,0,0,0,0,1034,384,254,348,0,0,929,198,24,615,0,0,50,45,2,3,0,2013,627,280,966
36,225,Coles,2010,11250,Genesis Animal Rescue,Mattoon,61938,Animal Shelter,0,0,0,0,0,0,87,75,1,1,0,0,45,25,14,0,0,0,0,0,0,0,0,132,100,15,1,226,Coles,2011,Genesis Animal Rescue,Mattoon,61938,Animal Shelter,0,0,0,0,0,6,50,42,0,0,6,6,45,40,5,1,8,0,0,0,0,0,0,95,82,5,1
37,228,Coles,2010,8779,Kieffer's K-9 Country Club,Mattoon,61938,Animal Shelter,0,0,0,0,0,0,4,3,0,0,75,56,5,1,0,0,0,0,1,0,0,0,0,10,4,0,0,229,Coles,2011,Kieffer's K-9 Country Club,Mattoon,61938,Animal Shelter,0,0,0,0,0,3,0,0,0,0,3,60,6,20,6,0,40,3,0,1,0,0,2,6,21,6,0
38,586,Crawford,2010,8940,Crawford County Humane Society,Robinson,62454-3356,Animal Shelter,0,0,0,0,0,0,723,75,123,62,0,0,738,24,4,224,0,0,0,0,0,0,0,1461,99,127,286,587,Crawford,2011,Crawford County Humane Society,Robinson,62454-3356,Animal Shelter,42,38,5,2,6,41,695,80,64,73,80,170,289,7,4,81,168,2,4,0,0,0,0,988,87,68,154
