,index1_x,County_x,Year_x,ShelterID,BusName_x,City_x,Zip_x,License Type_x,DogSold_x,PupSold_x,CatSold_x,KitSold_x,ExoticSold_x,BegInvDog_x,DogRec_x,DogAdopt_x,DogReclaim_x,DogEuth_x,EndInvDogs_x,BegInvCat_x,CatRec_x,CatsAdopt_x,CatsReclaim_x,CatEuth_x,EndInvCats_x,BegInvOther_x,OtherRec_x,OtherAdopt_x,OtherReclaim_x,OtherEuth_x,EndInvOther_x,AllRec_x,AllAdopt_x,AllReclaim_x,AllEuth_x,index1_y,County_y,Year_y,BusName_y,City_y,Zip_y,License Type_y,DogSold_y,PupSold_y,CatSold_y,KitSold_y,ExoticSold_y,BegInvDog_y,DogRec_y,DogAdopt_y,DogReclaim_y,DogEuth_y,EndInvDogs_y,BegInvCat_y,CatRec_y,CatsAdopt_y,CatsReclaim_y,CatEuth_y,EndInvCats_y,BegInvOther_y,OtherRec_y,OtherAdopt_y,OtherReclaim_y,OtherEuth_y,EndInvOther_y,AllRec_y,AllAdopt_y,AllReclaim_y,AllEuth_y
124,1404,Lee,2010,6062,Granny Rose Animal Shelter,Dixon,61021,Animal Shelter,0,0,0,0,0,0,75,73,0,0,0,0,66,78,2,1,0,0,0,0,0,0,0,141,151,2,1,1403,Lee,2012,Granny Rose Animal Shelter,Dixon,61021,Animal Shelter,0,0,0,0,0,16,87,83,1,1,18,36,45,48,1,0,34,0,0,0,0,0,0,132,131,2,1
125,1407,Lee,2010,2410,Lee County Animal Control,Dixon,61021,Animal Control,0,0,0,0,0,0,252,121,96,34,0,0,5,0,4,1,0,0,0,0,0,0,0,257,121,100,35,1406,Lee,2012,Lee County Animal Control,Dixon,61021,Animal Control,0,0,0,0,0,0,118,49,60,3,0,0,7,4,1,2,0,0,0,0,0,0,0,125,53,61,5
126,1410,Lee,2010,5490,Sauk Valley Humane Soc Inc,Mendota,61342,Animal Shelter,2,0,3,1,0,0,8,2,6,0,0,0,11,3,1,5,0,0,0,0,0,0,0,19,5,7,5,1409,Lee,2012,Sauk Valley Humane Soc Inc,Mendota,61342,Animal Shelter,2,0,4,0,0,12,5,2,4,0,10,50,10,5,6,8,41,0,0,0,0,0,0,15,7,10,8
127,1421,Livingston,2010,10364,Guardian Angel Basset Rescue Inc.,Dwight,60420,Animal Shelter,0,0,0,0,0,0,220,200,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,220,200,5,5,1420,Livingston,2012,Guardian Angel Basset Rescue Inc.,Dwight,60420,Animal Shelter,0,0,0,0,0,10,180,170,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,180,170,0,3
128,1424,Livingston,2010,13734,Livco Animal Control Inc.,Fairbury,61739,Animal Control,0,0,0,0,0,0,189,99,73,17,0,0,27,0,16,11,0,0,12,12,0,0,0,228,111,89,28,1423,Livingston,2012,Livco Animal Control Inc.,Fairbury,61739,Animal Control,0,0,0,0,0,0,172,104,29,38,0,0,0,0,0,0,0,0,0,0,0,0,0,172,104,29,38
129,1427,Livingston,2010,9427,Livingston County Humane Society,Pontiac,61764,Animal Shelter,0,0,0,0,0,0,201,142,0,14,0,0,187,102,0,9,0,0,0,0,0,0,0,388,244,0,23,1426,Livingston,2012,Livingston County Humane Society,Pontiac,61764,Animal Shelter,0,0,0,0,0,9,111,82,0,12,26,80,42,51,0,9,58,0,0,0,0,0,0,153,133,0,21
130,1441,Logan,2010,12805,Humane Society of Logan County,Lincoln,62656,Animal Shelter,0,0,0,0,0,0,19,19,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0,34,32,0,0,1440,Logan,2012,Humane Society of Logan County,Lincoln,62656,Animal Shelter,0,0,0,0,0,2,69,61,1,0,16,2,79,69,2,1,21,0,0,0,0,0,0,148,130,3,1
131,1444,Logan,2010,6968,Logan County Animal Control,Lincoln,62656,Animal Control,0,0,0,0,0,0,394,85,78,51,0,0,347,41,5,150,0,0,0,0,0,4,0,741,126,83,205,1443,Logan,2012,Logan County Animal Control,Lincoln,62656,Animal Control,0,0,0,0,0,36,400,65,132,42,30,25,154,42,1,19,42,0,4,0,0,4,0,558,107,133,65
132,1449,Macon,2010,10185,Homeward Bound Pet Shelter Inc.,Decatur,62526,Animal Shelter,0,0,0,0,0,0,366,337,3,2,0,0,94,69,0,1,0,0,0,0,0,0,0,460,406,3,3,1448,Macon,2012,Homeward Bound Pet Shelter Inc.,Decatur,62526,Animal Shelter,0,0,0,0,0,29,418,417,2,1,27,16,99,92,0,0,23,0,0,0,0,0,0,517,509,2,1
133,1452,Macon,2010,6479,Humane Society of Decator/Macon Co,Decatur,62526,Animal Shelter,0,0,0,0,0,0,72,52,3,1,16,0,104,49,0,2,51,0,0,0,0,0,0,176,101,3,3,1451,Macon,2012,Humane Society of Decator/Macon Co,Decatur,62526,Animal Shelter,0,0,0,0,0,7,57,51,3,1,9,29,66,60,1,1,33,0,0,0,0,0,0,123,111,4,2
