index,County,Year,ShelterID,BusName,City,Zip,License Type,DogSold,PupSold,CatSold,KitSold,ExoticSold,BegInvDog,DogRec,DogAdopt,DogReclaim,DogEuth,EndInvDogs,BegInvCat,CatRec,CatsAdopt,CatsReclaim,CatEuth,EndInvCats,BegInvOther,OtherRec,OtherAdopt,OtherReclaim,OtherEuth,EndInvOther,AllRec,AllAdopt,AllReclaim,AllEuth
486,Dewitt,2012,1395,Dewitt County Animal Control,Clinton,61727,Animal Control,0,0,0,0,0,233,118,10,52,7,49,233,110,26,1,7,76,0,9,9,0,0,0,237,45,53,14
487,Hancock,2012,1520,Hancock County Dog Pound,Basco,62313,Animal Control,0,0,0,0,0,0,206,130,42,34,0,0,0,0,0,0,0,0,0,0,0,0,0,206,130,42,34
488,Madison,2012,1909,Granite City Humane Shelter,Granite City,62040,Animal Control,0,0,0,0,0,597,597,30,100,467,467,612,612,5,15,592,592,0,0,0,0,0,0,1209,35,115,1059
489,Williamson,2012,2354,City of Marion,Marion,62959,Animal Control,0,0,0,0,0,0,195,32,69,9,27,0,122,13,0,15,37,0,0,0,0,0,0,317,45,69,24
490,Marshall,2012,2440,Marshall County Dog Pound,Lacon,61540,Animal Control,0,0,0,0,0,0,145,25,98,22,0,0,0,0,0,0,0,0,0,0,0,0,0,145,25,98,22
491,Warren,2012,2945,Warren County Dog Pound,Monmouth,61462,0,0,0,0,0,0,5,206,50,141,7,3,5,53,23,3,12,4,0,2,2,0,0,0,261,75,144,19
492,Sangamon,2012,3257,Sangamon County Animal Countrol CTR.,Springfield,62703,Animal Control,676,135,414,294,10,0,2105,811,487,485,0,0,1630,708,27,562,0,0,625,10,4,270,0,4360,1529,518,1317
493,Douglas,2012,3259,Douglas County Animal Control,Tuscola,61953-0192,Animal Control,48,12,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,Dekalb,2012,3343,Dekalb County Animal Shelter,Genoa,60135-7612,Animal Shelter,0,0,0,0,0,27,199,154,20,8,36,109,174,142,6,31,82,0,2,2,0,0,0,375,298,26,39
495,Boone,2012,3508,Boone County Animal Services,Belvidere,61008,Animal Control,0,0,0,0,0,0,368,77,199,92,0,0,85,39,0,46,0,0,0,0,0,0,0,453,116,199,138
496,Clinton,2012,3586,Clinton County Animal Control,Carlyle,62231,Animal Control,0,0,0,0,0,8,502,194,184,120,12,6,360,34,23,304,5,0,7,0,0,7,0,869,228,207,431
497,Will,2012,3595,Village of Romeoville ,Romeoville,60446,Animal Control,0,0,0,0,0,0,225,53,171,1,0,0,50,45,3,2,0,0,0,0,0,0,0,275,98,174,3
498,Kane,2012,3626,Aurora Animal Control & Care,Aurora,60506,Animal Control,0,0,0,0,0,33,1512,503,473,433,39,16,1253,590,47,397,22,0,232,14,11,218,0,2997,1107,531,1048
499,Grundy,2012,3700,Grundy County Animal Control,Morris,60450,Animal Control,0,0,0,0,0,22,257,71,111,62,21,23,282,19,3,152,9,0,3,3,0,0,0,542,93,114,214
500,White,2012,3791,Carmi City Dog Pound,Carmi,62821,Animal Control,0,0,0,0,0,0,164,40,90,35,1,0,0,0,0,0,0,0,0,0,0,0,0,164,40,90,35
501,Washington,2012,3796,Washington County Animal Control,Nashville,62263,Animal Control,0,0,0,0,0,0,294,210,78,6,0,0,399,397,0,2,0,0,0,0,0,0,0,693,607,78,8
502,Jersey,2012,3850,Jerseyville Animal Control,Jerseyville,62052,Animal Control,0,0,0,0,0,0,145,35,29,81,0,0,89,0,2,87,0,0,0,0,0,0,0,234,35,31,168
503,Will,2012,3874,Will County Humane Society,Shorewood,60404,Animal Shelter,131,16,36,13,6,27,149,147,0,2,29,74,31,29,0,0,76,3,4,6,0,0,1,184,182,0,2
504,Madison,2012,3923,Warren Billhartz Animal Shelter,Collinsville,62234,0,0,0,0,0,0,5,284,45,125,51,9,17,201,82,7,30,10,0,3,1,2,0,0,488,128,134,81
505,Kankakee,2012,3970,Kankakee County Animal Control Center,Kankakee,60901,Animal Control,0,0,0,0,0,0,724,268,218,238,0,0,297,191,7,99,0,0,61,29,0,32,0,1082,488,225,369
506,Tazewell,2012,4246,Tazewell County Animal Control,Tremont,61568,Animal Control,30,1,14,16,0,908,908,32,371,290,22,969,969,34,26,727,75,188,188,0,4,46,22,2065,66,401,1063
